"cont","accX","accY","accZ","gyroX","gyroY","gyroZ","millis","id"
6713,6462,6766,3760,5258,-2587,3480,799385,"1"
6714,6596,6736,3444,6077,-1922,4333,799395,"1"
6715,6628,6522,3356,6359,-1620,4793,799405,"1"
6711,11812,13462,-3868,-10732,-6606,3131,806890,"2"
6712,11988,13338,-3790,-9714,-6557,3086,806900,"2"
6713,12138,13070,-3738,-8472,-6643,2960,806910,"2"
6714,12268,12718,-3656,-7204,-6626,2754,806920,"2"
6715,12366,12466,-3532,-5993,-6568,2493,806930,"2"
6716,6632,6082,3456,6396,-1450,5168,799415,"1"
6717,6744,5754,3476,6342,-1192,5674,799425,"1"
6718,6706,5492,3464,6199,-787,6257,799435,"1"
6719,6762,5478,3426,5976,-390,6790,799445,"1"
6720,6742,5690,3224,5729,-193,7229,799455,"1"
6716,12556,12230,-3328,-4901,-6532,2239,806940,"2"
6717,12672,12102,-3174,-4078,-6618,1904,806950,"2"
6718,12848,11874,-2812,-3441,-6883,1444,806960,"2"
6719,12944,11780,-2506,-2993,-7241,916,806970,"2"
6720,13142,11612,-2280,-2889,-7691,477,806980,"2"
6721,6808,5810,2844,5443,-179,7573,799465,"1"
6722,7006,6142,2712,5157,-326,7772,799475,"1"
6723,7040,6494,2588,4889,-634,7718,799485,"1"
6724,6924,6870,2414,4623,-1129,7443,799495,"1"
6725,6878,7170,2720,3998,-1665,6832,799505,"1"
6721,13176,11526,-2316,-2944,-8245,264,806990,"2"
6722,13178,11710,-2632,-2941,-8632,80,807000,"2"
6723,13138,11846,-2964,-2735,-8868,-304,807010,"2"
6724,13202,11866,-3112,-2219,-9045,-683,807020,"2"
6725,13284,11936,-3332,-1572,-8991,-865,807030,"2"
6726,6646,7042,3060,3288,-2300,6205,799515,"1"
6727,6262,6962,3718,2450,-2770,5752,799525,"1"
6728,5798,6778,4414,1690,-2892,5207,799535,"1"
6729,5520,6542,4974,1163,-2902,4769,799545,"1"
6730,5296,6418,5198,726,-2770,4530,799555,"1"
6726,13344,12048,-3440,-902,-8885,-995,807040,"2"
6727,13346,11972,-3466,-165,-8746,-1120,807050,"2"
6728,13410,11918,-3564,555,-8510,-1177,807060,"2"
6729,13536,12006,-3722,1045,-8224,-1146,807070,"2"
6730,13490,11942,-3752,1387,-8025,-1100,807080,"2"
6731,5170,6532,5348,443,-2472,4312,799565,"1"
6732,5076,6890,5338,376,-2284,3971,799575,"1"
6733,5140,7508,5336,286,-2158,3583,799585,"1"
6734,4930,7932,5454,233,-2082,3150,799595,"1"
6735,4876,8286,5456,224,-2130,2607,799605,"1"
6731,13354,11950,-3736,1732,-7760,-1028,807090,"2"
6732,13268,12018,-3934,2053,-7362,-987,807100,"2"
6733,13040,12014,-4104,2381,-6937,-866,807110,"2"
6734,12788,12094,-4048,2668,-6167,-643,807120,"2"
6735,12696,12012,-4158,2826,-5323,-535,807130,"2"
6736,4598,8722,5546,149,-2238,1884,799615,"1"
6737,4520,8916,5818,-24,-2337,1047,799625,"1"
6738,4552,9024,6490,-110,-2205,246,799635,"1"
6739,4402,9042,7250,-113,-1728,-300,799645,"1"
6740,4366,9042,7738,-130,-1013,-618,799655,"1"
6736,12608,11758,-4162,2921,-4389,-543,807140,"2"
6737,12384,11556,-3984,2931,-3466,-543,807150,"2"
6738,12176,11392,-3916,2833,-2612,-697,807160,"2"
6739,11896,11256,-3902,2833,-1872,-986,807170,"2"
6740,11580,11208,-3826,2874,-1101,-1348,807180,"2"
6741,4536,9120,7976,-339,-398,-827,799665,"1"
6742,4894,9196,8186,-761,130,-1185,799675,"1"
6743,5216,9276,8190,-1294,573,-1988,799685,"1"
6744,5464,9406,8132,-1953,913,-2884,799695,"1"
6745,5568,9578,8012,-2640,1145,-3667,799705,"1"
6741,11396,11232,-3836,2907,-268,-1699,807190,"2"
6742,11136,11382,-3984,2934,521,-2015,807200,"2"
6743,10854,11550,-4008,3030,1445,-2287,807210,"2"
6744,10594,11828,-4052,3132,2509,-2528,807220,"2"
6745,10488,12038,-4086,3219,3653,-2784,807230,"2"
6746,10438,12228,-4018,3340,4813,-3121,807240,"2"
6747,10666,12314,-3820,3614,5980,-3483,807250,"2"
6748,10944,12376,-3872,3919,7073,-3771,807260,"2"
6749,11296,12528,-3752,4058,8103,-3812,807270,"2"
6750,11308,12720,-3644,4048,9137,-3684,807280,"2"
6746,5752,9640,7982,-3226,1517,-4452,799715,"1"
6747,5886,9554,7838,-3588,1960,-4983,799725,"1"
6748,5734,9338,7540,-3618,2547,-5103,799735,"1"
6749,5604,9270,7346,-3332,3345,-5226,799745,"1"
6750,5490,9214,7032,-3131,4301,-5244,799755,"1"
6751,5706,9252,6896,-2937,5358,-5165,799765,"1"
6752,6050,9290,6622,-2756,6309,-5127,799775,"1"
6753,6692,9410,6414,-2675,7028,-5206,799785,"1"
6754,7194,9568,6104,-2725,7476,-5426,799795,"1"
6755,7704,9602,5934,-2841,7645,-5794,799805,"1"
6751,11184,12928,-3322,3918,10199,-3348,807290,"2"
6752,10994,13220,-3034,3721,11251,-2965,807300,"2"
6753,10524,13492,-2622,3426,12322,-2520,807310,"2"
6754,10462,13866,-2020,2692,13591,-2036,807320,"2"
6755,10138,13788,-1570,1687,14574,-1448,807330,"2"
6756,9954,13500,-984,528,15249,-773,807340,"2"
6757,9832,13248,-342,-544,15568,-123,807350,"2"
6758,9888,12800,176,-1225,15601,293,807360,"2"
6759,10030,12702,632,-1636,15321,433,807370,"2"
6760,10170,12368,910,-1798,14689,606,807380,"2"
6756,8160,9776,5668,-3159,7668,-6429,799815,"1"
6757,8712,9960,5514,-3480,7477,-7388,799825,"1"
6758,8880,10000,5278,-3946,6925,-8272,799835,"1"
6759,9078,10048,5104,-4700,6461,-8815,799845,"1"
6760,9302,9976,5016,-5413,6259,-9103,799855,"1"
6761,9150,9896,4844,-5904,6184,-9205,799865,"1"
6762,9084,9876,4604,-6184,6248,-9153,799875,"1"
6763,9008,9882,4332,-6310,6454,-9036,799885,"1"
6764,8896,9766,3986,-6207,6696,-8853,799895,"1"
6765,8792,9650,3716,-6045,6943,-8560,799905,"1"
6761,10742,12236,1072,-1678,13966,711,807390,"2"
6762,11304,12124,1042,-954,13099,506,807400,"2"
6763,11802,12274,824,326,11779,158,807410,"2"
6764,12178,12406,626,1745,10371,-160,807420,"2"
6765,12518,12526,534,3149,8961,-351,807430,"2"
6766,8702,9542,3278,-5589,7133,-8241,799915,"1"
6767,8610,9354,3008,-4903,7396,-8050,799925,"1"
6768,8552,9206,2678,-4143,7583,-7875,799935,"1"
6769,8444,9020,2298,-3627,7783,-7424,799945,"1"
6770,8344,8898,2104,-3116,8112,-6937,799955,"1"
6766,12606,12702,384,4597,7566,-582,807440,"2"
6767,12668,12758,146,5869,6515,-633,807450,"2"
6768,12738,12792,-122,6828,5761,-578,807460,"2"
6769,12922,12898,-254,7442,5060,-376,807470,"2"
6770,12978,12862,-486,7875,4351,-275,807480,"2"
6771,8414,8702,1832,-2593,8384,-6587,799965,"1"
6772,8442,8504,1588,-2253,8501,-6174,799975,"1"
6773,8436,8172,1482,-2074,8595,-5871,799985,"1"
6774,8438,8002,1282,-2017,8671,-5553,799995,"1"
6775,8526,7856,1030,-2185,8666,-5352,800005,"1"
6771,13014,12802,-540,8194,3677,-234,807490,"2"
6772,12942,12728,-698,8410,3105,-190,807500,"2"
6773,12852,12620,-772,8549,2697,-236,807510,"2"
6774,12712,12444,-952,8649,2401,-412,807520,"2"
6775,12658,12242,-1040,8668,2191,-696,807530,"2"
6776,8530,7644,864,-2417,8653,-5244,800015,"1"
6777,8504,7334,712,-2572,8538,-5070,800025,"1"
6778,8508,7164,462,-2642,8392,-4796,800035,"1"
6779,8434,7008,200,-2588,8136,-4387,800045,"1"
6780,8332,6786,30,-2343,7776,-3727,800055,"1"
6776,12596,12166,-1222,8603,2155,-874,807540,"2"
6777,12594,12246,-1258,8308,2372,-951,807550,"2"
6778,12640,12394,-1418,7919,2561,-1078,807560,"2"
6779,12552,12510,-1488,7499,2743,-1194,807570,"2"
6780,12478,12780,-1508,6905,3103,-1305,807580,"2"
6781,8242,6740,-248,-1945,7306,-3036,800065,"1"
6782,8178,6602,-388,-1520,7040,-2511,800075,"1"
6783,8070,6472,-532,-1113,6977,-1987,800085,"1"
6784,8074,6360,-778,-697,6921,-1343,800095,"1"
6785,8076,6230,-1036,-230,6660,-735,800105,"1"
6781,12460,12676,-1602,6230,3465,-1276,807590,"2"
6782,12302,12708,-1480,5523,3732,-1126,807600,"2"
6783,12258,12784,-1272,4759,4137,-951,807610,"2"
6784,12320,12852,-1204,3964,4470,-798,807620,"2"
6785,12174,12746,-854,3379,4668,-626,807630,"2"
6786,7984,6142,-1140,260,6498,-255,800115,"1"
6787,7992,6086,-1272,626,6191,104,800125,"1"
6788,7952,6040,-1416,827,5859,433,800135,"1"
6789,7930,5872,-1502,883,5425,686,800145,"1"
6790,8026,5814,-1542,793,4869,770,800155,"1"
6786,12386,12806,-528,2765,4916,-452,807640,"2"
6787,12398,12724,-268,2074,4908,-281,807650,"2"
6788,12406,12484,66,1469,4686,-111,807660,"2"
6789,12468,12306,326,1199,4318,-91,807670,"2"
6790,12590,12188,480,1060,3850,-155,807680,"2"
6791,8170,5568,-1576,576,4196,764,800165,"1"
6792,8088,5442,-1550,484,3469,755,800175,"1"
6793,8174,5276,-1570,517,2809,915,800185,"1"
6794,8242,5270,-1620,647,2216,1402,800195,"1"
6795,8310,5270,-1578,847,1670,2028,800205,"1"
6791,12520,12068,610,1064,3263,-267,807690,"2"
6792,12458,11920,660,1117,2668,-439,807700,"2"
6793,12232,11896,738,1183,2103,-581,807710,"2"
6794,12104,11922,610,1165,1611,-689,807720,"2"
6795,11732,12598,564,688,1424,-543,807730,"2"
6796,8606,5264,-1322,1136,1018,2798,800215,"1"
6797,9022,5340,-1376,1353,293,3526,800225,"1"
6798,9366,5544,-1114,1432,-610,4100,800235,"1"
6799,9824,5796,-574,1404,-1530,4466,800245,"1"
6800,10064,6038,4,1277,-2576,4853,800255,"1"
6796,11466,12804,668,158,1223,-575,807740,"2"
6797,11192,12894,760,-164,1002,-600,807750,"2"
6798,10964,13116,850,-486,632,-654,807760,"2"
6799,10700,13354,1018,-858,172,-727,807770,"2"
6800,10468,13540,1048,-1218,-316,-800,807780,"2"
6801,10304,6334,950,1051,-3562,5232,800265,"1"
6802,10772,6702,1870,595,-4408,5173,800275,"1"
6803,11188,6954,2718,-100,-5303,5000,800285,"1"
